チーム,選手,アタック,アタック成功:,アタック失敗,アタック打数,アタック決定率,アタック効果率,ブロック成功,サーブ,ノータッチエース,サービスエース,サーブミス,レシーブ失敗,レシーブ成功(優),レシーブ成功(良),失敗かつブレイク,優かつブレイク,良かつブレイク,ブレイク,失敗かつ被サイドアウト,優かつ被サイドアウト,良かつ被サイドアウト,被サイドアウト,その他ミス
トヨタ車体クインシーズ,山形,0,0,0,0,,,0,11,0,0,0,2.0,5.0,4.0,1.0,1.0,1.0,3.0,1.0,4.0,3.0,8.0,
トヨタ車体クインシーズ,杉原,8,5,1,14,35.7,28.6,4,76,1,1,9,25.0,28.0,23.0,12.0,8.0,5.0,25.0,13.0,20.0,18.0,51.0,
トヨタ車体クインシーズ,松本,4,1,1,6,16.7,0.0,3,23,0,2,5,5.0,12.0,6.0,2.0,3.0,1.0,6.0,3.0,9.0,5.0,17.0,
トヨタ車体クインシーズ,稲葉,4,2,0,6,33.3,33.3,0,12,0,0,2,3.0,6.0,3.0,1.0,3.0,1.0,5.0,2.0,3.0,2.0,7.0,
トヨタ車体クインシーズ,舟根,0,0,0,0,,,0,3,0,0,0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,
トヨタ車体クインシーズ,藪田,74,22,11,107,20.6,10.3,6,132,3,9,12,55.0,56.0,21.0,24.0,14.0,6.0,44.0,31.0,42.0,15.0,88.0,
トヨタ車体クインシーズ,鴫原,10,8,5,23,34.8,13.0,2,37,0,6,8,13.0,14.0,10.0,6.0,2.0,4.0,12.0,7.0,12.0,6.0,25.0,
トヨタ車体クインシーズ,黒須,25,21,14,60,35.0,11.7,1,92,0,0,8,22.0,47.0,23.0,9.0,15.0,7.0,31.0,13.0,32.0,16.0,61.0,
久光スプリングス,アキンラデウォ,11,22,1,34,64.7,61.8,20,109,1,2,10,29.0,56.0,24.0,15.0,20.0,9.0,44.0,14.0,36.0,15.0,65.0,0.0
久光スプリングス,中川,58,32,6,96,33.3,27.1,8,123,1,3,4,33.0,64.0,26.0,16.0,19.0,12.0,47.0,17.0,45.0,14.0,76.0,2.0
久光スプリングス,井上(愛),94,72,5,171,42.1,39.2,11,128,1,4,5,39.0,63.0,26.0,26.0,22.0,11.0,59.0,13.0,41.0,15.0,69.0,2.0
久光スプリングス,井上(美),1,0,0,1,0.0,0.0,0,44,1,1,6,16.0,21.0,7.0,10.0,10.0,1.0,21.0,6.0,11.0,6.0,23.0,0.0
久光スプリングス,今村,63,37,11,111,33.3,23.4,4,73,1,2,13,15.0,43.0,15.0,10.0,11.0,6.0,27.0,5.0,32.0,9.0,46.0,2.0
久光スプリングス,加藤,10,5,2,17,29.4,17.6,1,25,0,0,3,10.0,12.0,3.0,5.0,3.0,2.0,10.0,5.0,9.0,1.0,15.0,0.0
久光スプリングス,大竹,4,6,1,11,54.5,45.5,11,84,1,3,4,19.0,41.0,24.0,8.0,13.0,4.0,25.0,11.0,28.0,20.0,59.0,0.0
久光スプリングス,平山,3,2,3,8,25.0,-12.5,4,74,1,4,5,30.0,36.0,8.0,15.0,12.0,4.0,31.0,15.0,24.0,4.0,43.0,0.0
久光スプリングス,栄,1,2,0,3,66.7,66.7,1,181,0,5,3,37.0,101.0,43.0,20.0,45.0,18.0,83.0,17.0,56.0,25.0,98.0,3.0
久光スプリングス,濱松,7,10,4,21,47.6,28.6,8,71,0,2,15,16.0,38.0,17.0,6.0,16.0,3.0,25.0,10.0,22.0,14.0,46.0,1.0
久光スプリングス,白澤,17,9,1,27,33.3,29.6,3,41,0,0,5,14.0,20.0,7.0,12.0,10.0,2.0,24.0,2.0,10.0,5.0,17.0,0.0
久光スプリングス,石井,55,22,4,81,27.2,22.2,5,76,1,2,6,26.0,30.0,22.0,17.0,12.0,5.0,34.0,9.0,18.0,17.0,44.0,0.0
久光スプリングス,野本,46,22,6,74,29.7,21.6,3,42,3,3,8,13.0,19.0,10.0,3.0,5.0,5.0,13.0,10.0,14.0,5.0,29.0,0.0
久光スプリングス,長岡,4,4,0,8,50.0,50.0,0,5,0,0,0,0.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,4.0,0.0
埼玉上尾メディックス,サンティアゴ,29,29,1,59,49.2,47.5,22,111,1,4,22,32.0,52.0,,13.0,12.0,15.0,40.0,19.0,40.0,12.0,71.0,6.0
埼玉上尾メディックス,ロレンネ,72,40,7,119,33.6,27.7,8,134,4,10,15,45.0,63.0,,26.0,25.0,6.0,57.0,19.0,38.0,20.0,77.0,4.0
埼玉上尾メディックス,仁井田,1,0,0,1,0.0,0.0,0,7,0,0,0,,,,,,,,,,,,0.0
