AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win Set,Lose Set,Total Set,Win Lose,Get Point,Lose Point,Game Time,Start Time,End Time,Spectators,Jury,Chief Umpire,Sub Umpire,Judgeman,Home Away,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%
116,61,6,52.6,12.20,20,11,1,55.0,16,3.20,112,5,15,25,6.7,77,30.0,19.0,51.3,112,2021-10-23,2021,10,23,岩手県,紫波町総合体育館,堺ブレイザーズ,東レアローズ,千葉進也,長江祥司,3,2,5,Win,113,88,125,14:00,16:17,460,利根川忠史,高橋宏明,慈眼雅啓,糸井淳孝,Away,136,56,15,41.2,11.20,36,13,5,36.1,5,1.00,89,5,11,26,9.8,93,40.0,27.0,57.5
83,45,3,54.2,15.00,15,6,2,40.0,6,2.00,73,4,7,28,12.7,50,22.0,13.0,57.0,114,2021-10-23,2021,10,23,大阪府,パナソニックアリーナ,パナソニックパンサーズ,VC長野トライデンツ,ﾃｨﾘﾛﾗﾝ,ｳﾞｨﾝｾﾝﾄﾋﾟｼｪｯﾄ,3,0,3,Win,75,59,80,14:00,15:26,1327,高橋憲太郎,澤達大,西中野健,安田悠司,Home,90,38,7,42.2,12.67,23,10,2,43.5,6,2.00,61,3,11,12,5.3,66,20.0,15.0,41.7
90,38,7,42.2,12.67,23,10,2,43.5,6,2.00,61,3,11,12,5.3,66,20.0,15.0,41.7,114,2021-10-23,2021,10,23,大阪府,パナソニックアリーナ,VC長野トライデンツ,パナソニックパンサーズ,松本隆義,宮澤武吉,0,3,3,Lose,59,75,80,14:00,15:26,1327,高橋憲太郎,澤達大,西中野健,安田悠司,Away,83,45,3,54.2,15.00,15,6,2,40.0,6,2.00,73,4,7,28,12.7,50,22.0,13.0,57.0
73,38,3,52.1,12.67,16,10,1,62.5,6,2.00,73,3,10,24,8.9,49,16.0,13.0,45.9,118,2021-10-24,2021,10,24,大阪府,パナソニックアリーナ,パナソニックパンサーズ,VC長野トライデンツ,ﾃｨﾘﾛﾗﾝ,ｳﾞｨﾝｾﾝﾄﾋﾟｼｪｯﾄ,3,0,3,Win,75,63,80,13:00,14:26,1317,髙橋憲太郎,冨田博一,澤達大,永江雅之,Home,78,35,10,44.9,11.67,19,4,6,21.1,7,2.33,65,6,14,20,11.5,63,19.0,20.0,46.0
78,35,10,44.9,11.67,19,4,6,21.1,7,2.33,65,6,14,20,11.5,63,19.0,20.0,46.0,118,2021-10-24,2021,10,24,大阪府,パナソニックアリーナ,VC長野トライデンツ,パナソニックパンサーズ,松本隆義,宮澤武吉,0,3,3,Lose,63,75,80,13:00,14:26,1317,髙橋憲太郎,冨田博一,澤達大,永江雅之,Away,73,38,3,52.1,12.67,16,10,1,62.5,6,2.00,73,3,10,24,8.9,49,16.0,13.0,45.9
108,50,4,46.3,12.50,26,12,1,46.2,9,2.25,84,6,16,20,8.3,82,49.0,8.0,64.6,124,2021-10-30,2021,10,30,鳥取県,鳥取県立米子産業体育館,JTサンダーズ広島,パナソニックパンサーズ,原秀治,古田博幸,1,3,4,Lose,83,98,107,14:00,15:56,1000,石井洋壮,國頭亮太,江口祐一郎,山内健靖,Home,111,58,6,52.3,14.50,18,12,1,66.7,8,2.00,97,8,12,24,11.3,66,35.0,11.0,61.4
111,58,6,52.3,14.50,18,12,1,66.7,8,2.00,97,8,12,24,11.3,66,35.0,11.0,61.4,124,2021-10-30,2021,10,30,鳥取県,鳥取県立米子産業体育館,パナソニックパンサーズ,JTサンダーズ広島,ﾃｨﾘﾛﾗﾝ,ｳﾞｨﾝｾﾝﾄﾋﾟｼｪｯﾄ,3,1,4,Win,98,83,107,14:00,15:56,1000,石井洋壮,國頭亮太,江口祐一郎,山内健靖,Away,108,50,4,46.3,12.50,26,12,1,46.2,9,2.25,84,6,16,20,8.3,82,49.0,8.0,64.6
78,36,3,46.2,12.00,14,6,0,42.9,6,2.00,66,3,13,16,5.7,58,34.0,7.0,64.7,129,2021-10-31,2021,10,31,鳥取県,鳥取県立米子産業体育館,JTサンダーズ広島,パナソニックパンサーズ,原秀治,古田博幸,0,3,3,Lose,65,75,83,13:00,14:29,1100,石井洋壮,本間明,江口祐一郎,山内健靖,Home,89,46,6,51.7,15.33,19,12,1,63.2,3,1.00,74,7,13,13,9.5,52,32.0,2.0,63.5
89,46,6,51.7,15.33,19,12,1,63.2,3,1.00,74,7,13,13,9.5,52,32.0,2.0,63.5,129,2021-10-31,2021,10,31,鳥取県,鳥取県立米子産業体育館,パナソニックパンサーズ,JTサンダーズ広島,ﾃｨﾘﾛﾗﾝ,ｳﾞｨﾝｾﾝﾄﾋﾟｼｪｯﾄ,3,0,3,Win,75,65,83,13:00,14:29,1100,石井洋壮,本間明,江口祐一郎,山内健靖,Away,78,36,3,46.2,12.00,14,6,0,42.9,6,2.00,66,3,13,16,5.7,58,34.0,7.0,64.7
94,43,6,45.7,14.33,24,13,2,54.2,10,3.33,78,7,14,24,12.2,54,29.0,12.0,64.8,121,2021-10-30,2021,10,30,愛知県,豊田合成記念体育館,ウルフドッグス名古屋,FC東京,ﾏｸｶﾞｳﾝｸﾘｽ,深津貴之,3,0,3,Win,79,65,88,13:00,14:41,830,村上成司,村中伸,新田浩幸,戸田幸喜,Home,85,34,5,40.0,11.33,17,5,1,29.4,6,2.00,66,0,12,13,0.4,61,24.0,9.0,46.7
