No.,L,Player,Set,1,2,3,4,5,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win Set,Lose Set,Total Set,Win Lose,Game time
20,,佐藤陸善,3,■,■,■,,,2,1,0,50.0,0.33,0,0,0,-,1,0.33,6,0,1,2,4.2,0,0.0,0.0,-,539,2020-12-05,2020,12,05,奈良県,大和郡山市総合公園多目的体育館,サフィルヴァ北海道,富士通カワサキレッドスピリッツ,上杉徹,小林準,0,3,3,Lose,76
21,,柿崎充,3,■,■,■,,,23,7,0,30.4,2.33,10,3,0,30.0,1,0.33,12,2,0,5,27.1,0,0.0,0.0,-,539,2020-12-05,2020,12,05,奈良県,大和郡山市総合公園多目的体育館,サフィルヴァ北海道,富士通カワサキレッドスピリッツ,上杉徹,小林準,0,3,3,Lose,76
22,,柏田樹,3,■,■,■,,,9,5,2,55.6,1.67,0,0,0,-,0,-,10,0,3,4,2.5,0,0.0,0.0,-,539,2020-12-05,2020,12,05,奈良県,大和郡山市総合公園多目的体育館,サフィルヴァ北海道,富士通カワサキレッドスピリッツ,上杉徹,小林準,0,3,3,Lose,76
26,,長屋梓,3,□,□,□,,,0,0,0,-,-,0,0,0,-,0,-,4,0,2,0,-12.5,0,0.0,0.0,-,539,2020-12-05,2020,12,05,奈良県,大和郡山市総合公園多目的体育館,サフィルヴァ北海道,富士通カワサキレッドスピリッツ,上杉徹,小林準,0,3,3,Lose,76
1,,岡本侑,3,■,■,■,,,18,10,1,55.6,3.33,8,6,0,75.0,1,0.33,9,0,3,2,-2.8,3,1.0,2.0,66.7,540,2020-12-05,2020,12,05,奈良県,大和郡山市総合公園多目的体育館,きんでんトリニティーブリッツ,東京ヴェルディ,今田善仁,藤島謙裕,3,1,4,Win,91
2,,尾松航洋,4,□,□,□,□,,0,0,0,-,-,0,0,0,-,0,-,7,0,1,1,0.0,0,0.0,0.0,-,540,2020-12-05,2020,12,05,奈良県,大和郡山市総合公園多目的体育館,きんでんトリニティーブリッツ,東京ヴェルディ,今田善仁,藤島謙裕,3,1,4,Win,91
3,L,長濱裕,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,17,9.0,4.0,64.7,540,2020-12-05,2020,12,05,奈良県,大和郡山市総合公園多目的体育館,きんでんトリニティーブリッツ,東京ヴェルディ,今田善仁,藤島謙裕,3,1,4,Win,91
5,L,大賀惠介,2,,〇,〇,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,6,1.0,3.0,41.7,540,2020-12-05,2020,12,05,奈良県,大和郡山市総合公園多目的体育館,きんでんトリニティーブリッツ,東京ヴェルディ,今田善仁,藤島謙裕,3,1,4,Win,91
6,,庄司練,1,,,,■,,6,5,0,83.3,5.00,0,0,0,-,0,-,1,0,0,0,0.0,0,0.0,0.0,-,540,2020-12-05,2020,12,05,奈良県,大和郡山市総合公園多目的体育館,きんでんトリニティーブリッツ,東京ヴェルディ,今田善仁,藤島謙裕,3,1,4,Win,91
7,,田畑翔伍,4,■,■,■,■,,21,6,4,28.6,1.50,2,1,1,50.0,4,1.00,7,0,2,0,-7.1,18,9.0,5.0,63.9,540,2020-12-05,2020,12,05,奈良県,大和郡山市総合公園多目的体育館,きんでんトリニティーブリッツ,東京ヴェルディ,今田善仁,藤島謙裕,3,1,4,Win,91
9,,内園徹,2,,□,□,,,0,0,0,-,-,0,0,0,-,0,-,4,0,0,0,0.0,0,0.0,0.0,-,540,2020-12-05,2020,12,05,奈良県,大和郡山市総合公園多目的体育館,きんでんトリニティーブリッツ,東京ヴェルディ,今田善仁,藤島謙裕,3,1,4,Win,91
11,,毛利光生,4,■,■,■,■,,2,1,0,50.0,0.25,0,0,0,-,3,0.75,13,0,1,3,3.8,0,0.0,0.0,-,540,2020-12-05,2020,12,05,奈良県,大和郡山市総合公園多目的体育館,きんでんトリニティーブリッツ,東京ヴェルディ,今田善仁,藤島謙裕,3,1,4,Win,91
14,,谷川結人,4,■,■,■,■,,30,13,3,43.3,3.25,12,7,1,58.3,1,0.25,17,1,5,5,5.9,7,2.0,2.0,42.9,540,2020-12-05,2020,12,05,奈良県,大和郡山市総合公園多目的体育館,きんでんトリニティーブリッツ,東京ヴェルディ,今田善仁,藤島謙裕,3,1,4,Win,91
15,,古川一輝,1,,,□,,,3,1,1,33.3,1.00,0,0,0,-,1,1.00,3,0,0,1,8.3,0,0.0,0.0,-,540,2020-12-05,2020,12,05,奈良県,大和郡山市総合公園多目的体育館,きんでんトリニティーブリッツ,東京ヴェルディ,今田善仁,藤島謙裕,3,1,4,Win,91
16,,山本寛生,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,540,2020-12-05,2020,12,05,奈良県,大和郡山市総合公園多目的体育館,きんでんトリニティーブリッツ,東京ヴェルディ,今田善仁,藤島謙裕,3,1,4,Win,91
18,,三木裕人,3,,□,□,■,,4,2,0,50.0,0.67,0,0,0,-,0,-,12,1,1,0,6.2,10,5.0,5.0,75.0,540,2020-12-05,2020,12,05,奈良県,大和郡山市総合公園多目的体育館,きんでんトリニティーブリッツ,東京ヴェルディ,今田善仁,藤島謙裕,3,1,4,Win,91
19,,黒木隆生,3,■,■,■,,,13,8,0,61.5,2.67,0,0,0,-,2,0.67,6,0,4,1,-12.5,1,1.0,0.0,100.0,540,2020-12-05,2020,12,05,奈良県,大和郡山市総合公園多目的体育館,きんでんトリニティーブリッツ,東京ヴェルディ,今田善仁,藤島謙裕,3,1,4,Win,91
23,,福井裕貴,4,■,■,■,■,,11,4,1,36.4,1.00,0,0,0,-,2,0.50,16,0,1,4,4.7,0,0.0,0.0,-,540,2020-12-05,2020,12,05,奈良県,大和郡山市総合公園多目的体育館,きんでんトリニティーブリッツ,東京ヴェルディ,今田善仁,藤島謙裕,3,1,4,Win,91
1,,與崎風人,1,,,□,,,1,0,0,0.0,-,0,0,0,-,0,-,1,0,0,0,0.0,2,2.0,0.0,100.0,540,2020-12-05,2020,12,05,奈良県,大和郡山市総合公園多目的体育館,東京ヴェルディ,きんでんトリニティーブリッツ,瀧澤利一,檜森輝尚,1,3,4,Lose,91
2,,小松一哉,4,■,■,■,■,,25,9,0,36.0,2.25,4,2,0,50.0,1,0.25,15,0,1,2,1.7,36,19.0,8.0,63.9,540,2020-12-05,2020,12,05,奈良県,大和郡山市総合公園多目的体育館,東京ヴェルディ,きんでんトリニティーブリッツ,瀧澤利一,檜森輝尚,1,3,4,Lose,91
3,L,三角昌弘,4,〇,〇,〇,〇,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,18,7.0,7.0,58.3,540,2020-12-05,2020,12,05,奈良県,大和郡山市総合公園多目的体育館,東京ヴェルディ,きんでんトリニティーブリッツ,瀧澤利一,檜森輝尚,1,3,4,Lose,91
4,L,宮田航輔,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,540,2020-12-05,2020,12,05,奈良県,大和郡山市総合公園多目的体育館,東京ヴェルディ,きんでんトリニティーブリッツ,瀧澤利一,檜森輝尚,1,3,4,Lose,91
5,,河野祥侑,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,540,2020-12-05,2020,12,05,奈良県,大和郡山市総合公園多目的体育館,東京ヴェルディ,きんでんトリニティーブリッツ,瀧澤利一,檜森輝尚,1,3,4,Lose,91
10,,佐藤隼一,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,540,2020-12-05,2020,12,05,奈良県,大和郡山市総合公園多目的体育館,東京ヴェルディ,きんでんトリニティーブリッツ,瀧澤利一,檜森輝尚,1,3,4,Lose,91
12,,澤瑞貴,4,■,■,■,■,,15,6,4,40.0,1.50,3,1,1,33.3,0,-,8,0,2,3,3.1,20,7.0,9.0,57.5,540,2020-12-05,2020,12,05,奈良県,大和郡山市総合公園多目的体育館,東京ヴェルディ,きんでんトリニティーブリッツ,瀧澤利一,檜森輝尚,1,3,4,Lose,91
14,,山下道生,4,■,■,□,■,,3,0,0,0.0,-,0,0,0,-,1,0.25,7,0,2,2,0.0,0,0.0,0.0,-,540,2020-12-05,2020,12,05,奈良県,大和郡山市総合公園多目的体育館,東京ヴェルディ,きんでんトリニティーブリッツ,瀧澤利一,檜森輝尚,1,3,4,Lose,91
16,,石黒聖也,2,,□,■,,,3,0,0,0.0,-,0,0,0,-,0,-,4,0,3,0,-18.8,0,0.0,0.0,-,540,2020-12-05,2020,12,05,奈良県,大和郡山市総合公園多目的体育館,東京ヴェルディ,きんでんトリニティーブリッツ,瀧澤利一,檜森輝尚,1,3,4,Lose,91
17,,田中拓海,4,■,■,■,■,,2,0,1,0.0,-,0,0,0,-,0,-,17,0,2,1,-1.5,0,0.0,0.0,-,540,2020-12-05,2020,12,05,奈良県,大和郡山市総合公園多目的体育館,東京ヴェルディ,きんでんトリニティーブリッツ,瀧澤利一,檜森輝尚,1,3,4,Lose,91
20,,藏田大輝,1,■,,,,,3,1,1,33.3,1.00,1,0,1,0.0,0,-,2,0,2,0,-25.0,0,0.0,0.0,-,540,2020-12-05,2020,12,05,奈良県,大和郡山市総合公園多目的体育館,東京ヴェルディ,きんでんトリニティーブリッツ,瀧澤利一,檜森輝尚,1,3,4,Lose,91
22,,大村翔哉,4,□,■,■,■,,40,20,3,50.0,5.00,15,10,1,66.7,1,0.25,15,0,1,4,5.0,0,0.0,0.0,-,540,2020-12-05,2020,12,05,奈良県,大和郡山市総合公園多目的体育館,東京ヴェルディ,きんでんトリニティーブリッツ,瀧澤利一,檜森輝尚,1,3,4,Lose,91
26,,渡辺周馬,4,■,■,■,■,,20,8,0,40.0,2.00,0,0,0,-,1,0.25,8,0,2,1,-3.1,0,0.0,0.0,-,540,2020-12-05,2020,12,05,奈良県,大和郡山市総合公園多目的体育館,東京ヴェルディ,きんでんトリニティーブリッツ,瀧澤利一,檜森輝尚,1,3,4,Lose,91
1,,與崎風人,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,543,2020-12-06,2020,12,06,奈良県,大和郡山市総合公園多目的体育館,東京ヴェルディ,サフィルヴァ北海道,瀧澤利一,檜森輝尚,3,1,4,Win,95
2,,小松一哉,4,■,■,■,■,,22,9,1,40.9,2.25,4,1,0,25.0,2,0.50,18,0,1,2,1.4,30,8.0,11.0,45.0,543,2020-12-06,2020,12,06,奈良県,大和郡山市総合公園多目的体育館,東京ヴェルディ,サフィルヴァ北海道,瀧澤利一,檜森輝尚,3,1,4,Win,95
3,L,三角昌弘,3,〇,〇,〇,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,13,1.0,6.0,30.8,543,2020-12-06,2020,12,06,奈良県,大和郡山市総合公園多目的体育館,東京ヴェルディ,サフィルヴァ北海道,瀧澤利一,檜森輝尚,3,1,4,Win,95
4,L,宮田航輔,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,4,0.0,2.0,25.0,543,2020-12-06,2020,12,06,奈良県,大和郡山市総合公園多目的体育館,東京ヴェルディ,サフィルヴァ北海道,瀧澤利一,檜森輝尚,3,1,4,Win,95
5,,河野祥侑,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,543,2020-12-06,2020,12,06,奈良県,大和郡山市総合公園多目的体育館,東京ヴェルディ,サフィルヴァ北海道,瀧澤利一,檜森輝尚,3,1,4,Win,95
10,,佐藤隼一,4,□,□,□,□,,0,0,0,-,-,0,0,0,-,0,-,10,1,2,3,12.5,0,0.0,0.0,-,543,2020-12-06,2020,12,06,奈良県,大和郡山市総合公園多目的体育館,東京ヴェルディ,サフィルヴァ北海道,瀧澤利一,檜森輝尚,3,1,4,Win,95
12,,澤瑞貴,4,■,■,■,■,,25,11,4,44.0,2.75,4,2,1,50.0,1,0.25,15,2,3,3,13.3,21,4.0,6.0,33.3,543,2020-12-06,2020,12,06,奈良県,大和郡山市総合公園多目的体育館,東京ヴェルディ,サフィルヴァ北海道,瀧澤利一,檜森輝尚,3,1,4,Win,95
14,,山下道生,4,■,■,■,■,,12,6,1,50.0,1.50,0,0,0,-,4,1.00,15,0,2,5,5.0,1,0.0,0.0,0.0,543,2020-12-06,2020,12,06,奈良県,大和郡山市総合公園多目的体育館,東京ヴェルディ,サフィルヴァ北海道,瀧澤利一,檜森輝尚,3,1,4,Win,95
16,,石黒聖也,2,,,□,□,,0,0,0,-,-,0,0,0,-,0,-,2,0,0,1,12.5,0,0.0,0.0,-,543,2020-12-06,2020,12,06,奈良県,大和郡山市総合公園多目的体育館,東京ヴェルディ,サフィルヴァ北海道,瀧澤利一,檜森輝尚,3,1,4,Win,95
17,,田中拓海,4,■,■,■,■,,0,0,0,-,-,0,0,0,-,0,-,18,0,0,2,2.8,0,0.0,0.0,-,543,2020-12-06,2020,12,06,奈良県,大和郡山市総合公園多目的体育館,東京ヴェルディ,サフィルヴァ北海道,瀧澤利一,檜森輝尚,3,1,4,Win,95
20,,藏田大輝,3,■,■,■,,,12,5,1,41.7,1.67,4,1,1,25.0,0,-,6,0,2,0,-8.3,0,0.0,0.0,-,543,2020-12-06,2020,12,06,奈良県,大和郡山市総合公園多目的体育館,東京ヴェルディ,サフィルヴァ北海道,瀧澤利一,檜森輝尚,3,1,4,Win,95
22,,大村翔哉,2,,,□,■,,16,6,0,37.5,3.00,6,2,0,33.3,1,0.50,6,0,0,2,8.3,0,0.0,0.0,-,543,2020-12-06,2020,12,06,奈良県,大和郡山市総合公園多目的体育館,東京ヴェルディ,サフィルヴァ北海道,瀧澤利一,檜森輝尚,3,1,4,Win,95
26,,渡辺周馬,4,■,■,■,■,,17,10,0,58.8,2.50,0,0,0,-,4,1.00,4,0,0,1,6.2,0,0.0,0.0,-,543,2020-12-06,2020,12,06,奈良県,大和郡山市総合公園多目的体育館,東京ヴェルディ,サフィルヴァ北海道,瀧澤利一,檜森輝尚,3,1,4,Win,95
1,,青島賢司,3,□,□,□,,,0,0,0,-,-,0,0,0,-,0,-,3,0,0,2,16.7,0,0.0,0.0,-,543,2020-12-06,2020,12,06,奈良県,大和郡山市総合公園多目的体育館,サフィルヴァ北海道,東京ヴェルディ,上杉徹,小林準,1,3,4,Lose,95
2,L,神園時,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,21,5.0,10.0,47.6,543,2020-12-06,2020,12,06,奈良県,大和郡山市総合公園多目的体育館,サフィルヴァ北海道,東京ヴェルディ,上杉徹,小林準,1,3,4,Lose,95
3,,河西智洋,4,■,■,■,■,,19,6,2,31.6,1.50,0,0,0,-,2,0.50,7,0,4,1,-10.7,25,9.0,11.0,58.0,543,2020-12-06,2020,12,06,奈良県,大和郡山市総合公園多目的体育館,サフィルヴァ北海道,東京ヴェルディ,上杉徹,小林準,1,3,4,Lose,95
4,,奥田基嗣,4,■,■,■,■,,22,10,1,45.5,2.50,0,0,0,-,2,0.50,13,0,0,2,3.8,1,0.0,1.0,50.0,543,2020-12-06,2020,12,06,奈良県,大和郡山市総合公園多目的体育館,サフィルヴァ北海道,東京ヴェルディ,上杉徹,小林準,1,3,4,Lose,95
5,,吉田康祐,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,543,2020-12-06,2020,12,06,奈良県,大和郡山市総合公園多目的体育館,サフィルヴァ北海道,東京ヴェルディ,上杉徹,小林準,1,3,4,Lose,95
6,,阿部誠樹,4,■,■,■,■,,34,17,5,50.0,4.25,5,1,2,20.0,0,-,15,0,4,6,3.3,34,19.0,7.0,66.2,543,2020-12-06,2020,12,06,奈良県,大和郡山市総合公園多目的体育館,サフィルヴァ北海道,東京ヴェルディ,上杉徹,小林準,1,3,4,Lose,95
8,,清水久雄,1,,,,□,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,543,2020-12-06,2020,12,06,奈良県,大和郡山市総合公園多目的体育館,サフィルヴァ北海道,東京ヴェルディ,上杉徹,小林準,1,3,4,Lose,95
9,,小林洸,2,□,,,□,,2,0,0,0.0,-,0,0,0,-,0,-,1,0,0,0,0.0,1,0.0,0.0,0.0,543,2020-12-06,2020,12,06,奈良県,大和郡山市総合公園多目的体育館,サフィルヴァ北海道,東京ヴェルディ,上杉徹,小林準,1,3,4,Lose,95
10,,三浦拓,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,543,2020-12-06,2020,12,06,奈良県,大和郡山市総合公園多目的体育館,サフィルヴァ北海道,東京ヴェルディ,上杉徹,小林準,1,3,4,Lose,95
14,,山口拓馬,1,,,,□,,2,0,1,0.0,-,1,0,1,0.0,0,-,1,0,0,1,25.0,0,0.0,0.0,-,543,2020-12-06,2020,12,06,奈良県,大和郡山市総合公園多目的体育館,サフィルヴァ北海道,東京ヴェルディ,上杉徹,小林準,1,3,4,Lose,95
16,L,桝谷周呈,4,〇,〇,〇,〇,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,543,2020-12-06,2020,12,06,奈良県,大和郡山市総合公園多目的体育館,サフィルヴァ北海道,東京ヴェルディ,上杉徹,小林準,1,3,4,Lose,95
20,,佐藤陸善,4,■,■,■,■,,2,1,0,50.0,0.25,0,0,0,-,1,0.25,15,2,1,5,20.0,0,0.0,0.0,-,543,2020-12-06,2020,12,06,奈良県,大和郡山市総合公園多目的体育館,サフィルヴァ北海道,東京ヴェルディ,上杉徹,小林準,1,3,4,Lose,95
21,,柿崎充,4,■,■,■,■,,41,18,3,43.9,4.50,23,9,2,39.1,1,0.25,15,0,7,5,-3.3,0,0.0,0.0,-,543,2020-12-06,2020,12,06,奈良県,大和郡山市総合公園多目的体育館,サフィルヴァ北海道,東京ヴェルディ,上杉徹,小林準,1,3,4,Lose,95
22,,柏田樹,4,■,■,■,■,,13,3,3,23.1,0.75,0,0,0,-,2,0.50,17,1,1,7,14.7,0,0.0,0.0,-,543,2020-12-06,2020,12,06,奈良県,大和郡山市総合公園多目的体育館,サフィルヴァ北海道,東京ヴェルディ,上杉徹,小林準,1,3,4,Lose,95
1,,岡本侑,3,■,■,■,,,22,11,1,50.0,3.67,6,2,1,33.3,0,-,11,0,1,2,2.3,1,0.0,1.0,50.0,544,2020-12-06,2020,12,06,奈良県,大和郡山市総合公園多目的体育館,きんでんトリニティーブリッツ,富士通カワサキレッドスピリッツ,今田善仁,藤島謙裕,0,3,3,Lose,65
2,,尾松航洋,3,□,□,□,,,0,0,0,-,-,0,0,0,-,0,-,4,0,1,0,-6.2,0,0.0,0.0,-,544,2020-12-06,2020,12,06,奈良県,大和郡山市総合公園多目的体育館,きんでんトリニティーブリッツ,富士通カワサキレッドスピリッツ,今田善仁,藤島謙裕,0,3,3,Lose,65
3,L,長濱裕,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,24,12.0,6.0,62.5,544,2020-12-06,2020,12,06,奈良県,大和郡山市総合公園多目的体育館,きんでんトリニティーブリッツ,富士通カワサキレッドスピリッツ,今田善仁,藤島謙裕,0,3,3,Lose,65
5,L,大賀惠介,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,544,2020-12-06,2020,12,06,奈良県,大和郡山市総合公園多目的体育館,きんでんトリニティーブリッツ,富士通カワサキレッドスピリッツ,今田善仁,藤島謙裕,0,3,3,Lose,65
6,,庄司練,3,■,■,■,,,8,1,1,12.5,0.33,0,0,0,-,3,1.00,3,0,0,1,8.3,0,0.0,0.0,-,544,2020-12-06,2020,12,06,奈良県,大和郡山市総合公園多目的体育館,きんでんトリニティーブリッツ,富士通カワサキレッドスピリッツ,今田善仁,藤島謙裕,0,3,3,Lose,65
7,,田畑翔伍,3,■,■,■,,,10,2,1,20.0,0.67,0,0,0,-,1,0.33,5,0,3,0,-15.0,24,11.0,6.0,58.3,544,2020-12-06,2020,12,06,奈良県,大和郡山市総合公園多目的体育館,きんでんトリニティーブリッツ,富士通カワサキレッドスピリッツ,今田善仁,藤島謙裕,0,3,3,Lose,65
9,,内園徹,3,□,□,□,,,0,0,0,-,-,0,0,0,-,0,-,3,0,0,0,0.0,2,1.0,1.0,75.0,544,2020-12-06,2020,12,06,奈良県,大和郡山市総合公園多目的体育館,きんでんトリニティーブリッツ,富士通カワサキレッドスピリッツ,今田善仁,藤島謙裕,0,3,3,Lose,65
11,,毛利光生,3,■,■,■,,,1,1,0,100.0,0.33,0,0,0,-,0,-,10,1,1,1,10.0,0,0.0,0.0,-,544,2020-12-06,2020,12,06,奈良県,大和郡山市総合公園多目的体育館,きんでんトリニティーブリッツ,富士通カワサキレッドスピリッツ,今田善仁,藤島謙裕,0,3,3,Lose,65
14,,谷川結人,3,■,■,■,,,20,5,1,25.0,1.67,8,0,0,0.0,0,-,7,1,3,1,7.1,9,6.0,2.0,77.8,544,2020-12-06,2020,12,06,奈良県,大和郡山市総合公園多目的体育館,きんでんトリニティーブリッツ,富士通カワサキレッドスピリッツ,今田善仁,藤島謙裕,0,3,3,Lose,65
15,,古川一輝,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,544,2020-12-06,2020,12,06,奈良県,大和郡山市総合公園多目的体育館,きんでんトリニティーブリッツ,富士通カワサキレッドスピリッツ,今田善仁,藤島謙裕,0,3,3,Lose,65
18,,三木裕人,2,□,,□,,,0,0,0,-,-,0,0,0,-,0,-,3,0,0,0,0.0,0,0.0,0.0,-,544,2020-12-06,2020,12,06,奈良県,大和郡山市総合公園多目的体育館,きんでんトリニティーブリッツ,富士通カワサキレッドスピリッツ,今田善仁,藤島謙裕,0,3,3,Lose,65
19,,黒木隆生,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,544,2020-12-06,2020,12,06,奈良県,大和郡山市総合公園多目的体育館,きんでんトリニティーブリッツ,富士通カワサキレッドスピリッツ,今田善仁,藤島謙裕,0,3,3,Lose,65
20,,山本慎人,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,544,2020-12-06,2020,12,06,奈良県,大和郡山市総合公園多目的体育館,きんでんトリニティーブリッツ,富士通カワサキレッドスピリッツ,今田善仁,藤島謙裕,0,3,3,Lose,65
23,,福井裕貴,3,■,■,■,,,14,9,0,64.3,3.00,0,0,0,-,1,0.33,9,0,0,1,2.8,0,0.0,0.0,-,544,2020-12-06,2020,12,06,奈良県,大和郡山市総合公園多目的体育館,きんでんトリニティーブリッツ,富士通カワサキレッドスピリッツ,今田善仁,藤島謙裕,0,3,3,Lose,65
1,,エバデダンジェフリー　宇意,3,■,■,■,,,10,8,0,80.0,2.67,0,0,0,-,3,1.00,8,0,1,2,3.1,0,0.0,0.0,-,544,2020-12-06,2020,12,06,奈良県,大和郡山市総合公園多目的体育館,富士通カワサキレッドスピリッツ,きんでんトリニティーブリッツ,山本道彦,廣本遥,3,0,3,Win,65
2,,松坂洸汰,1,,□,,,,1,0,0,0.0,-,0,0,0,-,0,-,1,0,1,0,-25.0,0,0.0,0.0,-,544,2020-12-06,2020,12,06,奈良県,大和郡山市総合公園多目的体育館,富士通カワサキレッドスピリッツ,きんでんトリニティーブリッツ,山本道彦,廣本遥,3,0,3,Win,65
4,,柳田百織,3,■,■,■,,,15,10,1,66.7,3.33,8,5,1,62.5,1,0.33,10,1,1,2,12.5,0,0.0,0.0,-,544,2020-12-06,2020,12,06,奈良県,大和郡山市総合公園多目的体育館,富士通カワサキレッドスピリッツ,きんでんトリニティーブリッツ,山本道彦,廣本遥,3,0,3,Win,65
5,,吉田綜眞,1,,□,,,,2,2,0,100.0,2.00,0,0,0,-,0,-,1,0,0,0,0.0,0,0.0,0.0,-,544,2020-12-06,2020,12,06,奈良県,大和郡山市総合公園多目的体育館,富士通カワサキレッドスピリッツ,きんでんトリニティーブリッツ,山本道彦,廣本遥,3,0,3,Win,65
6,L,小林慎平,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,6,3.0,1.0,58.3,544,2020-12-06,2020,12,06,奈良県,大和郡山市総合公園多目的体育館,富士通カワサキレッドスピリッツ,きんでんトリニティーブリッツ,山本道彦,廣本遥,3,0,3,Win,65
7,,加藤大雄,3,■,■,■,,,9,7,0,77.8,2.33,0,0,0,-,5,1.67,13,0,0,3,5.8,3,1.0,1.0,50.0,544,2020-12-06,2020,12,06,奈良県,大和郡山市総合公園多目的体育館,富士通カワサキレッドスピリッツ,きんでんトリニティーブリッツ,山本道彦,廣本遥,3,0,3,Win,65
8,,後藤滉貴,2,□,,□,,,0,0,0,-,-,0,0,0,-,0,-,2,0,1,0,-12.5,0,0.0,0.0,-,544,2020-12-06,2020,12,06,奈良県,大和郡山市総合公園多目的体育館,富士通カワサキレッドスピリッツ,きんでんトリニティーブリッツ,山本道彦,廣本遥,3,0,3,Win,65
10,,岡村義郎,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,544,2020-12-06,2020,12,06,奈良県,大和郡山市総合公園多目的体育館,富士通カワサキレッドスピリッツ,きんでんトリニティーブリッツ,山本道彦,廣本遥,3,0,3,Win,65
11,,浅野卓雅,3,■,■,■,,,19,12,2,63.2,4.00,6,3,2,50.0,1,0.33,13,0,4,1,-5.8,18,12.0,4.0,77.8,544,2020-12-06,2020,12,06,奈良県,大和郡山市総合公園多目的体育館,富士通カワサキレッドスピリッツ,きんでんトリニティーブリッツ,山本道彦,廣本遥,3,0,3,Win,65
13,,兵頭佳樹,3,■,■,■,,,21,8,0,38.1,2.67,2,1,0,50.0,1,0.33,11,0,3,1,-4.5,16,5.0,8.0,56.2,544,2020-12-06,2020,12,06,奈良県,大和郡山市総合公園多目的体育館,富士通カワサキレッドスピリッツ,きんでんトリニティーブリッツ,山本道彦,廣本遥,3,0,3,Win,65
17,,角大樹,2,,□,□,,,1,0,0,0.0,-,0,0,0,-,0,-,1,0,0,0,0.0,3,3.0,0.0,100.0,544,2020-12-06,2020,12,06,奈良県,大和郡山市総合公園多目的体育館,富士通カワサキレッドスピリッツ,きんでんトリニティーブリッツ,山本道彦,廣本遥,3,0,3,Win,65
18,,長谷山拓,3,■,■,■,,,0,0,0,-,-,0,0,0,-,0,-,9,1,0,3,19.4,0,0.0,0.0,-,544,2020-12-06,2020,12,06,奈良県,大和郡山市総合公園多目的体育館,富士通カワサキレッドスピリッツ,きんでんトリニティーブリッツ,山本道彦,廣本遥,3,0,3,Win,65
19,,尾木将,2,□,,□,,,0,0,0,-,-,0,0,0,-,0,-,3,0,1,0,-8.3,0,0.0,0.0,-,544,2020-12-06,2020,12,06,奈良県,大和郡山市総合公園多目的体育館,富士通カワサキレッドスピリッツ,きんでんトリニティーブリッツ,山本道彦,廣本遥,3,0,3,Win,65
20,,志波京介,1,,□,,,,0,0,0,-,-,0,0,0,-,0,-,2,0,0,2,25.0,0,0.0,0.0,-,544,2020-12-06,2020,12,06,奈良県,大和郡山市総合公園多目的体育館,富士通カワサキレッドスピリッツ,きんでんトリニティーブリッツ,山本道彦,廣本遥,3,0,3,Win,65
1,L,川崎翔太,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,8,4.0,2.0,62.5,545,2020-12-19,2020,12,19,埼玉県,三郷市総合体育館,埼玉アザレア,長野GaRons,工藤晴康,,3,0,3,Win,68
